  TEMPO #       VELOCID #                  POSICAO #              dv/dt #              dxdt
   15.1 #       1352.373543546758  #       21541.546916899322   # -9.74398573372449  # 1352.373543546758 
   15.2 #       1351.3991449733855 #       21676.784271253997   # -9.743573404704966 # 1351.3991449733855
   15.3 #       1350.424787632915  #       21811.924185751337   # -9.743161398916099 # 1350.424787632915 
   15.4 #       1349.4504714930233 #       21946.966664514628   # -9.74274971628658  # 1349.4504714930233
   15.5 #       1348.4761965213947 #       22081.91171166393    # -9.742338356745163 # 1348.4761965213947
   15.6 #       1347.5019626857202 #       22216.759331316072   # -9.74192732022067  # 1347.5019626857202
   15.7 #       1346.527769953698  #       22351.509527584643   # -9.741516606641984 # 1346.527769953698 
   15.8 #       1345.5536182930339 #       22486.16230458001    # -9.741106215938046 # 1345.5536182930339
   15.9 #       1344.57950767144   #       22620.717666409317   # -9.740696148037873 # 1344.57950767144  
   16.0 #       1343.6054380566363 #       22755.17561717646    # -9.740286402870536 # 1343.6054380566363
   16.1 #       1342.6314094163492 #       22889.536160982123   # -9.73987698036517  # 1342.6314094163492
   16.2 #       1341.6574217183127 #       23023.79930192376    # -9.739467880450974 # 1341.6574217183127
   16.3 #       1340.6834749302675 #       23157.96504409559    # -9.739059103057219 # 1340.6834749302675
   16.4 #       1339.7095690199617 #       23292.033391588615   # -9.738650648113225 # 1339.7095690199617
   16.5 #       1338.7357039551503 #       23426.004348490613   # -9.738242515548384 # 1338.7357039551503
   16.6 #       1337.7618797035955 #       23559.877918886126   # -9.737834705292146 # 1337.7618797035955
   16.7 #       1336.7880962330662 #       23693.654106856487   # -9.737427217274034 # 1336.7880962330662
   16.8 #       1335.8143535113388 #       23827.332916479794   # -9.737020051423622 # 1335.8143535113388
   16.9 #       1334.8406515061965 #       23960.91435183093    # -9.736613207670555 # 1334.8406515061965
   17.0 #       1333.8669901854296 #       24094.39841698155    # -9.736206685944541 # 1333.8669901854296
   17.1 #       1332.893369516835  #       24227.78511600009    # -9.735800486175345 # 1332.893369516835 
   17.2 #       1331.9197894682175 #       24361.074452951772   # -9.735394608292804 # 1331.9197894682175
   17.3 #       1330.9462500073882 #       24494.266431898595   # -9.734989052226805 # 1330.9462500073882
   17.4 #       1329.9727511021656 #       24627.361056899335   # -9.734583817907314 # 1329.9727511021656
   17.5 #       1328.9992927203748 #       24760.358332009553   # -9.73417890526435  # 1328.9992927203748
   17.6 #       1328.0258748298484 #       24893.25826128159    # -9.733774314228    # 1328.0258748298484
   17.7 #       1327.0524973984257 #       25026.060848764573   # -9.733370044728408 # 1327.0524973984257
   17.8 #       1326.0791603939529 #       25158.766098504417   # -9.732966096695781 # 1326.0791603939529
   17.9 #       1325.1058637842832 #       25291.374014543813   # -9.732562470060394 # 1325.1058637842832
   18.0 #       1324.1326075372772 #       25423.88460092224    # -9.732159164752582 # 1324.1326075372772
   18.1 #       1323.159391620802  #       25556.29786167597    # -9.731756180702748 # 1323.159391620802 
   18.2 #       1322.1862160027317 #       25688.613800838048   # -9.731353517841347 # 1322.1862160027317
   18.3 #       1321.2130806509476 #       25820.83242243832    # -9.730951176098905 # 1321.2130806509476
   18.4 #       1320.2399855333376 #       25952.953730503417   # -9.730549155406012 # 1320.2399855333376
   18.5 #       1319.266930617797  #       26084.97772905675    # -9.73014745569331  # 1319.266930617797 
   18.6 #       1318.2939158722277 #       26216.904422118532   # -9.729746076891518 # 1318.2939158722277
   18.7 #       1317.3209412645385 #       26348.733813705756   # -9.729345018931406 # 1317.3209412645385
   18.8 #       1316.3480067626454 #       26480.46590783221    # -9.728944281743813 # 1316.3480067626454
   18.9 #       1315.375112334471  #       26612.100708508475   # -9.728543865259638 # 1315.375112334471 
   19.0 #       1314.402257947945  #       26743.638219741923   # -9.728143769409845 # 1314.402257947945 
   19.1 #       1313.429443571004  #       26875.078445536717   # -9.727743994125456 # 1313.429443571004 
   19.2 #       1312.4566691715913 #       27006.421389893818   # -9.727344539337562 # 1312.4566691715913
   19.3 #       1311.4839347176576 #       27137.667056810977   # -9.726945404977306 # 1311.4839347176576
   19.4 #       1310.5112401771598 #       27268.815450282742   # -9.726546590975905 # 1310.5112401771598
   19.5 #       1309.5385855180623 #       27399.866574300457   # -9.726148097264634 # 1309.5385855180623
   19.6 #       1308.5659707083357 #       27530.820432852262   # -9.725749923774826 # 1308.5659707083357
   19.7 #       1307.5933957159582 #       27661.677029923096   # -9.72535207043788  # 1307.5933957159582
   19.8 #       1306.6208605089143 #       27792.43636949469    # -9.724954537185265 # 1306.6208605089143
   19.9 #       1305.6483650551959 #       27923.098455545583   # -9.724557323948495 # 1305.6483650551959
   20.0 #       1304.675909322801  #       28053.663292051104   # -9.724160430659161 # 1304.675909322801 
   20.1 #       1303.703493279735  #       28184.130882983383   # -9.72376385724891  # 1303.703493279735 
   20.2 #       1302.7311168940103 #       28314.501232311355   # -9.723367603649452 # 1302.7311168940103
   20.3 #       1301.7587801336454 #       28444.774344000754   # -9.722971669792557 # 1301.7587801336454
   20.4 #       1300.7864829666662 #       28574.95022201412    # -9.722576055610062 # 1300.7864829666662
   20.5 #       1299.8142253611052 #       28705.028870310784   # -9.722180761033867 # 1299.8142253611052
   20.6 #       1298.8420072850017 #       28835.010292846895   # -9.721785785995927 # 1298.8420072850017
   20.7 #       1297.8698287064021 #       28964.894493575393   # -9.721391130428259 # 1297.8698287064021
   20.8 #       1296.8976895933592 #       29094.681476446032   # -9.720996794262952 # 1296.8976895933592
   20.9 #       1295.925589913933  #       29224.371245405368   # -9.720602777432145 # 1295.925589913933 
   21.0 #       1294.9535296361898 #       29353.96380439676    # -9.720209079868049 # 1294.9535296361898
   21.1 #       1293.981508728203  #       29483.45915736038    # -9.719815701502931 # 1293.981508728203 
   21.2 #       1293.0095271580526 #       29612.8573082332     # -9.719422642269121 # 1293.0095271580526
   21.3 #       1292.0375848938256 #       29742.158260949007   # -9.719029902099013 # 1292.0375848938256
   21.4 #       1291.0656819036158 #       29871.36201943839    # -9.718637480925059 # 1291.0656819036158
   21.5 #       1290.0938181555232 #       30000.46858762875    # -9.718245378679773 # 1290.0938181555232
   21.6 #       1289.121993617655  #       30129.477969444302   # -9.717853595295738 # 1289.121993617655 
   21.7 #       1288.1502082581255 #       30258.39016880607    # -9.71746213070559  # 1288.1502082581255
   21.8 #       1287.178462045055  #       30387.20518963188    # -9.717070984842026 # 1287.178462045055 
   21.9 #       1286.206754946571  #       30515.923035836386   # -9.716680157637816 # 1286.206754946571 
   22.0 #       1285.2350869308073 #       30644.543711331044   # -9.716289649025784 # 1285.2350869308073
   22.1 #       1284.2634579659048 #       30773.067220024124   # -9.71589945893881  # 1284.2634579659048
   22.2 #       1283.291868020011  #       30901.493565820714   # -9.715509587309848 # 1283.291868020011 
   22.3 #       1282.3203170612799 #       31029.822752622717   # -9.715120034071902 # 1282.3203170612799
   22.4 #       1281.3488050578726 #       31158.054784328844   # -9.714730799158048 # 1281.3488050578726
   22.5 #       1280.3773319779568 #       31286.18966483463    # -9.714341882501412 # 1280.3773319779568
   22.6 #       1279.4058977897066 #       31414.227398032424   # -9.713953284035192 # 1279.4058977897066
   22.7 #       1278.434502461303  #       31542.167987811394   # -9.713565003692642 # 1278.434502461303 
   22.8 #       1277.4631459609338 #       31670.011438057525   # -9.713177041407077 # 1277.4631459609338
   22.9 #       1276.491828256793  #       31797.75775265362    # -9.712789397111882 # 1276.491828256793 
   23.0 #       1275.5205493170818 #       31925.4069354793     # -9.712402070740485 # 1275.5205493170818
   23.1 #       1274.5493091100077 #       32052.958990411007   # -9.712015062226397 # 1274.5493091100077
   23.2 #       1273.5781076037852 #       32180.413921322008   # -9.711628371503174 # 1273.5781076037852
   23.3 #       1272.6069447666348 #       32307.771732082387   # -9.711241998504441 # 1272.6069447666348
   23.4 #       1271.6358205667843 #       32435.03242655905    # -9.710855943163883 # 1271.6358205667843
   23.5 #       1270.6647349724678 #       32562.196008615727   # -9.710470205415245 # 1270.6647349724678
   23.6 #       1269.6936879519262 #       32689.262482112972   # -9.710084785192336 # 1269.6936879519262
   23.7 #       1268.722679473407  #       32816.23185090817    # -9.709699682429024 # 1268.722679473407 
   23.8 #       1267.7517095051642 #       32943.10411885551    # -9.709314897059235 # 1267.7517095051642
   23.9 #       1266.7807780154583 #       33069.87928980603    # -9.708930429016961 # 1266.7807780154583
   24.0 #       1265.8098849725566 #       33196.55736760757    # -9.708546278236254 # 1265.8098849725566
   24.1 #       1264.839030344733  #       33323.13835610483    # -9.708162444651228 # 1264.839030344733 
   24.2 #       1263.8682141002678 #       33449.6222591393     # -9.707778928196053 # 1263.8682141002678
   24.3 #       1262.8974362074482 #       33576.00908054933    # -9.707395728804965 # 1262.8974362074482
   24.4 #       1261.9266966345676 #       33702.29882417007    # -9.707012846412264 # 1261.9266966345676
   24.5 #       1260.9559953499263 #       33828.49149383353    # -9.706630280952298 # 1260.9559953499263
   24.6 #       1259.985332321831  #       33954.58709336852    # -9.706248032359492 # 1259.985332321831 
   24.7 #       1259.014707518595  #       34080.5856266007     # -9.705866100568322 # 1259.014707518595 
   24.8 #       1258.0441209085382 #       34206.48709735256    # -9.705484485513326 # 1258.0441209085382
   24.9 #       1257.0735724599867 #       34332.291509443414   # -9.705103187129104 # 1257.0735724599867
   25.0 #       1256.1030621412738 #       34457.99886668941    # -9.704722205350317 # 1256.1030621412738
   25.1 #       1255.1325899207388 #       34583.60917290354    # -9.704341540111688 # 1255.1325899207388
   25.2 #       1254.1621557667277 #       34709.122431895616   # -9.703961191348    # 1254.1621557667277
   25.3 #       1253.1917596475928 #       34834.53864747229    # -9.703581158994096 # 1253.1917596475928
   25.4 #       1252.2214015316933 #       34959.85782343705    # -9.703201442984875 # 1252.2214015316933
   25.5 #       1251.2510813873948 #       35085.07996359022    # -9.702822043255308 # 1251.2510813873948
   25.6 #       1250.2807991830693 #       35210.20507172896    # -9.702442959740416 # 1250.2807991830693
   25.7 #       1249.3105548870953 #       35335.23315164727    # -9.702064192375286 # 1249.3105548870953
   25.8 #       1248.340348467858  #       35460.16420713598    # -9.701685741095062 # 1248.340348467858 
   25.9 #       1247.3701798937484 #       35584.998241982765   # -9.701307605834957 # 1247.3701798937484
